대상시설명,위도,경도
삼덕초등학교,35.17416851,128.9785507
삼덕초등학교병설유치원,35.17410428,128.9785507
모라초등학교,35.19004594,128.9864313
모덕초등학교,35.18270148,128.9919381
모덕초등학교병설유치원,35.18270148,128.9919381
모덕유치원,35.17907248,128.9892673
"초록유치원(구,동백유치원)",35.18311269,128.9912801
모동초등학교,35.18522962,129.0018982
모동초등학교병설,35.18523013,129.0018982
아름솔유치원,35.1844609,129.0013929
모산초등학교,35.18571631,128.9952076
모라어린이집,35.18494335,128.9978757
덕포초등학교,35.17393127,128.9860524
덕상초등학교,35.1748859,128.9897236
은하자연유치원,35.1739467,128.9925819
은하자연어린이집,35.1739467,128.9925819
덕포한샘유치원,35.17410058,128.9915902
사상초등학교,35.16761073,128.9828363
사상초등학교병설유치원,35.16761073,128.9828348
부산근로복지공단어린이집,35.1674319,128.9816774
괘법초등학교,35.16018215,128.9857978
창진초등학교,35.16617253,128.9778864
괘법한신유치원,35.16797093,128.9784305
감전초등학교,35.15574588,128.9886679
감전초등학교병설유치원,35.15574588,128.9886679
서감초등학교,35.1578108,128.9820842
서감초등학교병설유치원,35.15783782,128.9820849
감전샛별유치원,35.1586848,128.9832326
성광어린이집,35.15761936,128.9810064
주학초등학교,35.14606624,129.0121591
엄궁초등학교,35.1291981,128.9743982
가람유치원,35.1291437,128.9734755
학진초등학교,35.133048,128.9751453
동궁초등학교,35.12346124,128.9748128
엄궁한신유치원,35.12452472,128.9691928
엄궁누리유치원,35.1262195,128.9770668
학장초등학교,35.14619209,128.9845724
구학초등학교,35.13776229,128.9922143
으뜸유치원,35.1369017,128.9921913
사랑유치원,35.13499189,128.993135
동주초등학교,35.14713311,129.0055483
동성럭키유치원,35.1465353,129.0040737
주양초등학교,35.15368152,129.0121068
주감초등학교,35.15391434,129.0014957
솔빛학교,35.18174307,128.9787134
경남정보대부속유치원,35.1463089,129.0096154
리라유치원,35.1299219,128.9721871
명성유치원,35.1438885,128.9902714
무덕유치원,35.14905235,129.0084996
버클리명문유치원,35.1547982,129.0157386
아진어린이집,35.14905235,129.0084996
벧엘유치원,35.1872871,128.9926857
"한빛유치원(구, 새한빛어린이집)",35.1264434,128.9706313
청솔어린이집,35.13941081,128.9788711
부산유치원,35.13871031,128.9802672
노아유치원,35.1406152,128.9799207
반도보라유치원,35.13729145,128.9791721
엄궁한빛어린이집,35.1255406,128.9698875
주례고운어린이집,35.14779902,128.9990649
한솔어린이집,35.18091206,128.9852421
성광유치원,35.15761936,128.9810064
이화어린이집,35.088587,128.994957
대지어린이집,35.09070448,128.9996875
진성어린이집,35.100464,129.003632
다대포어린이집,35.058683,128.967382
다송어린이집,35.063766,128.9817993
바다유치원,35.0614437,128.9823045
햇님어린이집,35.106979,128.972764
아트센터어린이집,35.10760057,128.976228
YWCA어린이집,35.075733,128.9810851
장림(구 사하삼성)어린이집,35.079165,128.9679306
무지개어린이집,35.07849421,128.9615817
하단어린이집,35.103943,128.9650945
중현초등학교,35.05112342,128.9664633
다송초등학교,35.06932612,128.9798387
다선초등학교,35.0630016,128.9856791
몰운대초등학교,35.05504897,128.963185
낙동초등학교,35.10548131,128.972348
당리초등학교,35.09991519,128.9756921
사동초등학교,35.10450283,128.9806235
신촌초등학교,35.0912092,128.9796992
신남초등학교,35.09835611,128.9615995
보림초등학교,35.08401561,128.9674324
하남초등학교 병설유치원,35.09953083,128.960002
부산천사의학교,35.10072107,129.0036736
감천파랑새어린이집,35.089977,129.0004764
장림초등학교,35.08216968,128.9765357
효림초등학교,35.07537835,128.9741005
하단초등학교,35.10545869,128.9648641
을숙도초등학교,35.1155457,128.9612457
신평초등학교,35.09434158,128.9715269
한빛유치원,35.08351404,129.0089995
